Name,Name (multilang),Title (#{lang}),Email,UPN,External User ID,CV Partner User ID,CV Partner CV ID,Phone Number,Landline,Birth Year,Department,Country,Nationality (#{lang}),Owner last removed or added a section,Owner last updated CV,Last updated CV,Summary Of Qualifications,Owner last updated Qualifications,Project Experiences,Unique roles,Owner last updated Project Experiences,Highlighted roles,Owner last updated Highlighted roles,Skill categories,Owner last updated Skill categories,Educations,Years of education,Owner last updated Educations,Work experiences,Years since first work experience,Owner last updated Work experiences,Certifications,Owner last updated Certifications,Courses,Owner last updated Courses,Presentations,Owner last updated Presentations,Recommendations,Owner last updated Recommendations,Positions,Owner last updated Positions,Mentoring,Owner last updated Mentoring,Publications,Owner last updated Publications,Honors and awards,Owner last updated Honors and awards,Languages,Owner last updated Languages,Owner last updated Unique roles
Kathleen Gray,int:Kathleen Gray,int:Principal Data Platform Engineer,kathleen.gray@example.com,kathleengray,ext_23a89b1d,23a89b1d,cv_23a89b1d,6817866179,891-680-1722x601,1969,Data Engineering,Ireland,int:Polish,2025-12-20,2025-09-04,2026-02-06,Principal Data Platform Engineer in data engineering delivering data platforms & analytics.,2025-06-13,3,3,2025-11-10,2,2025-06-21,4,2025-10-04,0,19,2025-01-22,2,15,2026-03-20,0,2024-12-05,3,2024-10-08,3,2026-01-27,0,2024-08-11,0,2024-12-24,0,2025-04-12,5,2025-05-28,1,2024-06-13,3,2025-08-17,2025-06-17
Karen Decker,int:Karen Decker,int:Associate AWS Engineer,karen.decker@example.org,karendecker,ext_b9f1a608,b9f1a608,cv_b9f1a608,897-279-4523x21941,9616027769,1971,Cloud Engineering,United Kingdom,int:British,2025-09-19,2025-12-12,2025-06-25,,2024-10-29,3,1,2024-06-15,2,2025-12-12,4,2025-07-03,3,14,2025-03-20,2,1,2024-10-16,1,2025-07-17,3,2024-04-27,1,2025-12-23,1,2025-06-29,1,2024-05-29,0,2024-10-22,1,2025-05-21,2,2025-02-14,4,2026-03-14,2025-11-06
Johnny Miller,int:Johnny Miller,int:Consultant Azure Engineer,johnny.miller@example.org,johnnymiller,ext_2a5011dd,2a5011dd,cv_2a5011dd,+1-595-264-1220x310,972.436.8314,2002,Cloud Engineering,United Kingdom,int:Swedish,2025-10-18,2025-04-15,2025-06-24,Consultant Azure Engineer in cloud engineering delivering data platforms & analytics.,2025-01-29,0,4,2024-08-30,0,2026-04-02,2,2024-11-27,2,19,2025-09-17,2,24,2025-09-24,1,2025-12-13,6,2025-05-25,1,2025-01-23,2,2025-07-20,3,2024-04-21,2,2025-06-29,0,2024-08-11,0,2025-09-11,1,2024-06-29,2025-04-19
Andrew Ryan,int:Andrew Ryan,int:Head of UCD and Insights,andrew.ryan@example.com,andrewryan,ext_45d62a44,45d62a44,cv_45d62a44,560.612.2777x0793,001-660-250-1667,1985,Head of UCD and Insights,Ireland,int:Norwegian,2025-07-05,2025-10-15,2025-07-25,Head of UCD and Insights in data engineering delivering data platforms & analytics.,2025-08-13,3,4,2025-01-17,2,2026-03-18,1,2024-04-27,3,11,2026-01-15,3,13,2025-12-19,4,2024-09-02,1,2025-11-14,1,2025-08-10,1,2025-02-07,0,2026-02-18,1,2025-09-06,2,2024-12-11,1,2025-02-05,2,2024-10-03,2024-09-05
Zoe Bell,int:Zoe Bell,int:Principal Databricks Engineer,zoe.bell@example.com,zoebell,ext_a06062fd,a06062fd,cv_a06062fd,767.389.9730x8069,567-917-9576x024,1974,Data Engineering,Spain,int:Norwegian,2025-06-07,2025-09-06,2026-02-01,Principal Databricks Engineer in data engineering delivering data platforms & analytics.,2025-06-20,5,0,2024-06-14,0,2024-12-29,5,2025-09-01,3,12,2025-12-29,5,7,2025-04-20,1,2025-08-04,1,2024-07-16,1,2025-12-03,0,2025-12-29,2,2025-07-21,0,2024-07-30,0,2024-10-01,1,2024-06-28,1,2025-07-31,2024-08-09
Debra Harrington,int:Debra Harrington,int:Associate Data Engineer,debra.harrington@mail.test,debraharrington,ext_fdf6ce06,fdf6ce06,cv_fdf6ce06,(873)783-9597x246,329.834.1722x3297,1990,Data Engineering,Australia,int:Swedish,2025-06-13,2025-11-12,2026-04-03,Associate Data Engineer in data engineering delivering data platforms & analytics.,2025-01-21,0,3,2024-04-20,2,2025-04-03,5,2024-12-26,1,20,2024-09-11,5,10,2024-04-21,0,2025-10-17,6,2026-03-07,3,2025-12-25,0,2024-06-30,3,2024-08-26,1,2026-03-13,0,2024-05-20,0,2025-06-26,2,2025-09-18,2025-04-11
Denise Webster,int:Denise Webster,int:Consultant Data Scientist,denise.webster@mail.test,denisewebster,ext_63cc44d4,63cc44d4,cv_63cc44d4,243.338.0054x5228,661-493-1837x45508,1977,AI/ML,United Kingdom,int:Danish,2025-05-22,2026-01-25,2026-03-18,,2025-12-04,1,1,2025-09-06,1,2024-06-30,1,2025-06-01,1,11,2024-04-30,1,24,2025-01-16,1,2025-10-28,1,2024-04-29,1,2026-01-29,1,2025-10-23,3,2024-12-04,0,2025-03-12,5,2026-03-27,1,2025-10-10,2,2025-03-16,2025-03-24
Stefanie Gonzalez,int:Stefanie Gonzalez,int:Principal Data Scientist,stefanie.gonzalez@example.org,stefaniegonzalez,ext_12b28666,12b28666,cv_12b28666,001-289-310-7711x991,(313)452-4787,2002,AI/ML,Ireland,int:Polish,2025-11-18,2025-04-03,2025-07-11,Principal Data Scientist in ai/ml delivering data platforms & analytics.,2024-04-03,0,4,2024-09-12,1,2024-10-07,4,2024-08-06,0,19,2024-08-12,0,18,2025-05-01,1,2024-12-26,1,2025-10-24,0,2024-08-03,0,2024-10-05,3,2024-05-27,0,2024-08-31,3,2025-08-26,0,2024-12-30,2,2025-01-23,2024-05-10
Andrew Hernandez,int:Andrew Hernandez,int:Lead Data Engineer,andrew.hernandez@example.com,andrewhernandez,ext_df5e6660,df5e6660,cv_df5e6660,+1-455-321-3760x3754,856-953-2863x266,1978,Data Engineering,United Kingdom,int:Danish,2026-02-16,2025-06-10,2026-02-03,Lead Data Engineer in data engineering delivering data platforms & analytics.,2024-04-22,1,4,2025-11-25,3,2025-08-11,3,2024-04-16,2,12,2024-10-04,2,11,2025-12-09,4,2024-09-07,1,2024-11-29,0,2025-02-23,0,2024-06-07,3,2024-08-17,1,2024-04-04,3,2025-11-16,2,2026-02-08,4,2024-10-20,2026-02-07
David Caldwell,int:David Caldwell,int:Senior ML Engineer,david.caldwell@example.com,davidcaldwell,ext_a7490bd4,a7490bd4,cv_a7490bd4,250.872.0811x55626,001-602-490-8466x84550,1977,AI/ML,Slovenia,int:British,2025-11-22,2025-11-21,2025-10-15,,2024-09-18,1,4,2025-11-15,1,2026-02-17,2,2025-01-21,1,12,2024-11-17,0,1,2025-09-05,4,2025-11-11,6,2025-08-21,0,2024-04-18,0,2024-06-21,4,2026-01-02,2,2024-10-20,0,2025-11-03,1,2024-07-03,1,2025-01-06,2025-10-03
Anne Robinson,int:Anne Robinson,int:Consultant Frontend Engineer,anne.robinson@example.com,annerobinson,ext_f7101721,f7101721,cv_f7101721,001-367-238-9975x634,+1-656-728-8431,2000,Software Engineering,United Kingdom,int:Danish,2026-03-19,2026-02-20,2025-10-20,,2025-10-17,0,3,2024-06-20,0,2026-01-10,3,2026-01-09,3,12,2024-04-29,1,13,2025-09-21,2,2024-11-27,6,2025-12-24,2,2025-01-09,0,2024-09-29,0,2024-06-09,0,2025-03-19,0,2026-02-04,2,2024-06-27,1,2024-07-23,2024-08-12
Holly Wang,int:Holly Wang,int:Senior AWS Engineer,holly.wang@example.org,hollywang,ext_aa251376,aa251376,cv_aa251376,001-620-708-9434x68105,501-574-9075,1994,Cloud Engineering,USA,int:Danish,2025-05-31,2025-04-26,2025-06-12,Senior AWS Engineer in cloud engineering delivering data platforms & analytics.,2024-09-28,0,1,2024-12-01,2,2024-11-17,3,2024-10-16,3,13,2026-01-15,5,3,2025-10-31,0,2025-10-06,6,2025-06-12,2,2024-11-06,1,2024-07-06,2,2026-02-19,0,2025-05-17,0,2025-03-11,2,2024-12-09,2,2026-02-21,2025-06-13
Gary Lawson,int:Gary Lawson,int:Principal Python Developer,gary.lawson@example.org,garylawson,ext_dea65a84,dea65a84,cv_dea65a84,(544)792-6831x589,912.366.1106x273,1988,Data Engineering,United Kingdom,int:Polish,2025-09-30,2025-07-13,2025-11-14,Principal Python Developer in data engineering delivering data platforms & analytics.,2024-10-08,4,3,2025-11-01,3,2025-03-13,1,2024-09-04,0,18,2025-11-29,4,4,2025-08-05,0,2025-02-05,0,2025-11-02,2,2025-07-02,0,2024-10-27,3,2025-08-13,1,2025-05-09,5,2025-03-21,1,2024-05-26,1,2026-02-12,2025-02-13
Julie Wilson,int:Julie Wilson,int:Lead Enterprise Architect,julie.wilson@example.org,juliewilson,ext_8c866d33,8c866d33,cv_8c866d33,(986)898-8649x767,(328)527-7288,1971,Architecture,Slovenia,int:British,2025-09-05,2025-05-30,2025-05-24,Lead Enterprise Architect in architecture delivering data platforms & analytics.,2024-09-09,2,2,2024-12-18,1,2025-04-05,5,2026-03-17,3,16,2024-07-03,5,10,2024-06-21,0,2024-10-12,4,2025-09-26,0,2025-11-26,2,2026-01-27,3,2026-01-31,0,2025-07-03,3,2026-02-14,0,2025-11-29,2,2025-02-26,2024-07-10
Lori Oconnell,int:Lori Oconnell,int:Principal .NET Engineer,lori.oconnell@example.org,lorioconnell,ext_350057c2,350057c2,cv_350057c2,670.228.5196x115,221.654.5447x02296,1996,Software Engineering,United Kingdom,int:British,2025-09-22,2025-12-28,2025-07-07,,2024-06-09,2,4,2026-01-28,0,2025-07-03,5,2025-07-29,0,12,2025-10-27,2,25,2024-05-14,2,2026-01-26,6,2025-11-10,1,2024-04-20,2,2025-02-18,3,2024-07-09,1,2024-05-09,1,2025-06-05,2,2025-10-11,2,2024-10-16,2025-02-18
Daniel Johnson,int:Daniel Johnson,int:Principal .NET Engineer,daniel.johnson@mail.test,danieljohnson,ext_2c321ce3,2c321ce3,cv_2c321ce3,632-970-1851x0679,867-892-2877x72519,1973,Software Engineering,Australia,int:Danish,2025-11-26,2026-02-20,2025-08-10,Principal .NET Engineer in software engineering delivering data platforms & analytics.,2026-02-21,4,2,2025-02-28,3,2024-06-26,3,2025-02-28,1,11,2025-10-25,0,3,2025-04-05,1,2025-03-17,3,2025-06-10,1,2026-02-19,1,2025-09-24,4,2025-02-15,1,2025-08-12,1,2024-05-12,0,2025-03-22,3,2025-04-20,2025-06-09
Larry Byrd,int:Larry Byrd,int:Principal Oracle Engineer,larry.byrd@mail.test,larrybyrd,ext_b1a30972,b1a30972,cv_b1a30972,265.680.7412,+1-518-913-9890,1978,Cloud Engineering,Slovenia,int:Danish,2025-12-09,2026-02-07,2025-09-27,,2025-07-30,4,1,2024-09-11,2,2024-11-07,2,2024-10-19,0,10,2025-10-03,5,25,2025-06-25,0,2025-04-29,3,2025-11-17,3,2024-12-13,1,2024-07-18,3,2024-04-20,1,2026-01-30,2,2024-05-14,2,2024-04-29,1,2025-04-20,2024-04-19
Susan Sanders,int:Susan Sanders,int:Principal Cloud Architect,susan.sanders@example.com,susansanders,ext_05cac1b8,05cac1b8,cv_05cac1b8,701.882.0433x97189,001-707-805-6260,1996,Architecture,Slovenia,int:Swedish,2025-09-13,2025-12-11,2026-01-21,Principal Cloud Architect in architecture delivering data platforms & analytics.,2025-12-20,0,2,2026-01-01,0,2024-04-05,3,2024-07-28,1,11,2024-12-24,1,5,2024-10-12,1,2024-12-12,1,2025-11-28,2,2024-09-23,0,2026-02-13,4,2024-07-21,1,2025-09-12,4,2025-07-31,1,2024-08-04,1,2025-12-31,2025-12-28
Jennifer Jones,int:Jennifer Jones,int:Principal C# Developer,jennifer.jones@example.com,jenniferjones,ext_356deeb0,356deeb0,cv_356deeb0,611-818-2422x412,+1-720-695-2004x61526,1983,Software Engineering,Australia,int:Polish,2025-10-18,2025-09-16,2026-02-14,,2024-12-17,5,1,2024-11-07,3,2024-09-15,2,2024-10-13,1,17,2026-03-26,3,14,2026-03-24,2,2025-09-26,1,2025-09-02,0,2026-03-07,1,2026-03-04,0,2024-08-11,2,2025-12-15,0,2025-04-26,0,2025-02-03,4,2025-12-10,2025-02-11
Hannah Burton,int:Hannah Burton,int:Associate .NET Engineer,hannah.burton@mail.test,hannahburton,ext_68081bf9,68081bf9,cv_68081bf9,(610)233-9937x8861,578-461-7063x04891,1979,Software Engineering,Spain,int:Norwegian,2026-04-02,2025-05-21,2025-04-20,,2025-08-28,4,1,2025-02-26,0,2024-07-18,2,2025-04-14,3,10,2025-11-17,2,5,2026-02-03,3,2026-01-15,5,2025-05-20,3,2024-07-24,1,2026-01-21,2,2025-11-28,2,2024-10-12,0,2024-06-18,2,2024-08-23,4,2025-06-14,2025-03-23
Curtis Barton,int:Curtis Barton,int:Senior Data Platform Engineer,curtis.barton@mail.test,curtisbarton,ext_f51feb6a,f51feb6a,cv_f51feb6a,896-971-8325x8238,6076942007,1997,Data Engineering,United Kingdom,int:British,2026-01-13,2025-12-14,2025-05-28,Senior Data Platform Engineer in data engineering delivering data platforms & analytics.,2024-07-26,0,4,2024-11-02,2,2026-01-18,2,2025-08-01,1,11,2024-12-27,3,25,2025-06-26,4,2025-04-25,3,2025-04-23,2,2025-01-30,0,2026-01-15,4,2025-12-30,0,2025-07-16,3,2026-02-25,0,2024-04-21,2,2025-06-06,2025-11-03
Melissa Burke,int:Melissa Burke,int:Consultant Databricks Engineer,melissa.burke@mail.test,melissaburke,ext_73e8431a,73e8431a,cv_73e8431a,+1-865-339-8402x89141,(684)963-9855,1975,Data Engineering,India,int:Norwegian,2025-07-12,2025-04-13,2026-02-13,Consultant Databricks Engineer in data engineering delivering data platforms & analytics.,2025-12-05,1,4,2025-11-23,3,2026-03-16,1,2026-02-19,2,18,2025-09-18,5,14,2026-02-06,0,2024-10-18,6,2025-09-07,2,2025-03-30,0,2025-02-28,3,2025-02-20,1,2024-07-20,3,2026-01-03,1,2026-03-07,1,2025-03-04,2025-01-22
David Riggs,int:David Riggs,int:Principal C# Developer,david.riggs@example.org,davidriggs,ext_5a8420ed,5a8420ed,cv_5a8420ed,935-253-7950x209,2269876811,1986,Software Engineering,Spain,int:British,2025-08-23,2025-06-15,2026-02-07,Principal C# Developer in software engineering delivering data platforms & analytics.,2024-11-22,1,3,2024-07-01,0,2025-01-24,3,2024-09-06,1,14,2024-06-13,0,17,2025-11-08,1,2024-07-06,6,2025-08-31,1,2024-10-13,1,2025-07-07,2,2025-06-10,1,2026-02-21,0,2025-12-06,1,2025-07-30,2,2025-05-27,2024-11-23
Kimberly Reed,int:Kimberly Reed,int:Principal Delivery Manager,kimberly.reed@example.org,kimberlyreed,ext_4746b284,4746b284,cv_4746b284,+1-215-569-5620x17537,001-604-953-1943x3750,1980,Delivery Management,United Kingdom,int:Norwegian,2025-05-24,2026-01-30,2026-03-07,Principal Delivery Manager in delivery management delivering data platforms & analytics.,2025-12-20,4,0,2024-05-20,3,2024-12-27,2,2024-04-26,2,17,2024-04-23,2,21,2026-03-16,1,2024-07-22,3,2026-02-14,1,2024-10-31,1,2025-03-22,0,2024-09-02,0,2024-08-17,1,2024-04-09,2,2026-01-27,3,2025-06-11,2025-03-20
Ross Wood,int:Ross Wood,int:Associate Azure Engineer,ross.wood@example.com,rosswood,ext_ef2ee397,ef2ee397,cv_ef2ee397,001-593-403-6149x872,692-512-4938,1980,Cloud Engineering,India,int:Polish,2025-05-19,2025-06-14,2025-09-23,Associate Azure Engineer in cloud engineering delivering data platforms & analytics.,2024-05-31,2,4,2025-06-04,1,2024-06-15,1,2024-07-23,3,11,2024-07-28,2,10,2024-05-11,4,2024-05-09,6,2024-12-22,1,2026-01-02,1,2024-10-16,4,2025-06-05,2,2025-11-06,4,2024-10-02,2,2025-03-25,4,2024-08-18,2024-09-15
William Peterson,int:William Peterson,int:Consultant Oracle Engineer,william.peterson@example.com,williampeterson,ext_d7a7e47c,d7a7e47c,cv_d7a7e47c,+1-308-994-8706x05664,558.703.0468x7506,1979,Cloud Engineering,USA,int:Norwegian,2025-12-27,2026-02-07,2025-12-30,Consultant Oracle Engineer in cloud engineering delivering data platforms & analytics.,2025-08-18,3,4,2025-06-06,1,2025-01-18,2,2025-02-14,2,20,2024-09-03,4,16,2024-09-07,0,2026-02-06,2,2025-02-10,0,2024-07-05,2,2024-04-17,2,2026-03-11,2,2024-09-09,4,2024-12-05,0,2025-10-27,2,2025-02-20,2025-11-10
Melissa Short,int:Melissa Short,int:Senior Kubernetes Engineer,melissa.short@example.com,melissashort,ext_88f99f95,88f99f95,cv_88f99f95,790-636-1332,510-376-0954,1971,Cloud Engineering,India,int:Swedish,2025-10-19,2025-04-25,2025-04-29,Senior Kubernetes Engineer in cloud engineering delivering data platforms & analytics.,2024-07-26,5,0,2025-03-29,3,2025-07-28,4,2024-10-18,0,18,2025-11-13,5,18,2024-05-30,3,2024-09-06,1,2026-03-17,1,2025-06-16,1,2026-03-31,4,2025-04-16,2,2025-02-10,1,2024-05-24,2,2025-12-04,2,2025-11-09,2024-06-07
Daniel Yu,int:Daniel Yu,int:Principal DevOps Engineer,daniel.yu@example.org,danielyu,ext_c95fd484,c95fd484,cv_c95fd484,335.305.8319x9717,6068512070,2002,Cloud Engineering,Ireland,int:British,2025-06-26,2025-09-20,2025-06-14,,2025-03-12,5,4,2025-04-16,3,2024-06-27,3,2026-01-19,0,12,2025-08-25,4,20,2026-03-19,1,2024-09-05,3,2024-11-26,2,2025-01-22,2,2025-12-24,1,2024-05-15,1,2024-05-01,5,2025-11-05,1,2025-09-21,1,2024-10-09,2025-02-11
Cynthia Poole,int:Cynthia Poole,int:Senior Data Engineer,cynthia.poole@mail.test,cynthiapoole,ext_39a0c4f0,39a0c4f0,cv_39a0c4f0,810-580-4661,+1-990-776-7699x150,1996,Data Engineering,United Kingdom,int:Polish,2025-07-17,2025-11-15,2025-05-18,Senior Data Engineer in data engineering delivering data platforms & analytics.,2026-02-21,2,4,2026-03-04,2,2024-11-30,1,2025-08-17,2,12,2026-04-02,6,4,2026-03-28,1,2024-05-20,6,2024-10-24,2,2025-01-14,1,2024-07-28,4,2025-02-27,0,2025-03-01,1,2026-01-29,2,2026-02-06,3,2025-12-05,2025-10-17
Jasmine Graham,int:Jasmine Graham,int:Consultant AI Engineer,jasmine.graham@example.com,jasminegraham,ext_32daa1a9,32daa1a9,cv_32daa1a9,001-431-610-9193,(867)797-2320x024,1989,AI/ML,Australia,int:Norwegian,2025-05-25,2025-05-07,2025-11-12,Consultant AI Engineer in ai/ml delivering data platforms & analytics.,2026-01-11,6,3,2025-06-07,1,2024-07-21,1,2026-01-19,0,15,2025-05-09,5,5,2026-02-07,1,2024-12-25,6,2025-02-10,2,2025-10-04,0,2024-06-28,0,2024-10-16,0,2025-09-15,3,2024-08-15,2,2025-01-05,1,2024-06-15,2024-06-28
Jessica Sheppard,int:Jessica Sheppard,int:Consultant Data Platform Engineer,jessica.sheppard@mail.test,jessicasheppard,ext_94e00b85,94e00b85,cv_94e00b85,498-222-7495x4508,388.706.5333,1973,Data Engineering,India,int:British,2026-01-10,2026-03-05,2025-04-03,Consultant Data Platform Engineer in data engineering delivering data platforms & analytics.,2024-12-30,3,1,2025-11-11,0,2025-02-06,3,2024-05-16,1,11,2025-11-21,5,17,2024-08-01,2,2025-11-14,2,2025-04-16,0,2026-03-15,1,2024-09-12,3,2025-12-30,1,2024-11-16,4,2024-07-02,1,2024-12-04,4,2025-03-06,2025-02-15
Joseph Morton,int:Joseph Morton,int:Senior MLOps Engineer,joseph.morton@example.org,josephmorton,ext_8087e31e,8087e31e,cv_8087e31e,677.895.9959,921-770-7303x37933,1996,Data Engineering,United Kingdom,int:Norwegian,2026-02-17,2026-01-26,2025-10-25,Senior MLOps Engineer in data engineering delivering data platforms & analytics.,2025-04-02,0,1,2025-10-10,0,2025-04-15,3,2025-02-17,0,12,2025-12-13,3,6,2024-12-11,4,2024-09-23,5,2026-01-12,2,2024-12-14,0,2026-03-24,1,2025-09-06,0,2025-10-17,1,2024-05-09,1,2025-12-20,2,2026-01-13,2025-09-08
Amanda Webb,int:Amanda Webb,int:Senior Full-stack Engineer,amanda.webb@example.org,amandawebb,ext_c9a72ebe,c9a72ebe,cv_c9a72ebe,001-463-662-0501x5081,439.750.0334x234,1985,Software Engineering,United Kingdom,int:Swedish,2025-09-23,2026-01-31,2025-12-27,Senior Full-stack Engineer in software engineering delivering data platforms & analytics.,2025-08-23,4,1,2024-12-31,0,2024-05-20,4,2024-09-22,0,19,2025-06-04,1,8,2025-05-24,3,2025-07-07,1,2024-08-05,2,2026-02-12,0,2025-10-13,3,2024-08-19,1,2025-05-08,4,2026-02-14,2,2025-11-10,3,2025-02-22,2026-01-17
Ryan Simon,int:Ryan Simon,int:Lead Enterprise Architect,ryan.simon@example.com,ryansimon,ext_a0a5f3b8,a0a5f3b8,cv_a0a5f3b8,+1-432-830-2410,+1-315-334-7355x2896,1971,Architecture,United Kingdom,int:Norwegian,2025-08-06,2025-07-04,2026-02-07,Lead Enterprise Architect in architecture delivering data platforms & analytics.,2025-11-09,2,4,2024-12-15,0,2024-05-20,1,2024-10-25,3,11,2025-10-11,2,14,2025-09-24,2,2026-01-17,0,2026-03-20,1,2025-10-20,1,2024-06-18,1,2025-12-30,2,2024-11-16,2,2024-08-08,0,2024-10-01,4,2025-09-29,2024-11-08
Joseph Christian,int:Joseph Christian,int:Consultant Oracle Engineer,joseph.christian@mail.test,josephchristian,ext_2909f414,2909f414,cv_2909f414,(823)538-6559,2996384253,1997,Cloud Engineering,United Kingdom,int:Swedish,2025-12-05,2025-08-28,2025-12-06,Consultant Oracle Engineer in cloud engineering delivering data platforms & analytics.,2024-09-28,0,1,2025-07-29,2,2024-10-23,5,2025-10-04,3,17,2024-09-24,1,4,2024-05-06,4,2025-05-12,4,2025-02-09,2,2026-03-05,2,2025-04-22,3,2025-08-12,2,2024-08-25,5,2024-12-29,2,2026-03-11,4,2024-11-15,2025-12-07
Mariah Miller,int:Mariah Miller,int:Senior Scrum Master,mariah.miller@example.com,mariahmiller,ext_a9ceed80,a9ceed80,cv_a9ceed80,(489)873-1791,001-885-278-7255x87774,1991,Delivery Management,United Kingdom,int:Polish,2026-03-27,2025-09-29,2026-04-02,Senior Scrum Master in delivery management delivering data platforms & analytics.,2025-03-14,6,4,2024-09-27,3,2026-01-07,4,2024-05-29,0,15,2025-10-10,3,15,2025-10-01,3,2025-08-17,5,2024-06-28,0,2025-04-11,1,2025-05-03,3,2024-05-13,0,2025-10-22,3,2026-01-05,2,2025-02-25,2,2024-05-08,2025-11-07
Nicole Sanchez,int:Nicole Sanchez,int:Senior DevOps Engineer,nicole.sanchez@example.com,nicolesanchez,ext_07feb8ab,07feb8ab,cv_07feb8ab,833.473.6346,(248)912-1478x539,1976,Cloud Engineering,Australia,int:Norwegian,2025-06-15,2026-01-22,2025-10-18,Senior DevOps Engineer in cloud engineering delivering data platforms & analytics.,2024-08-30,6,2,2025-02-20,0,2024-08-03,3,2026-02-22,3,11,2024-09-10,0,11,2024-08-07,2,2024-10-03,3,2024-05-05,1,2025-07-03,2,2025-08-06,0,2025-01-18,2,2024-07-04,5,2024-07-19,0,2024-09-26,1,2025-06-12,2024-12-22
Steven Bishop,int:Steven Bishop,int:Principal Data Engineer,steven.bishop@example.com,stevenbishop,ext_18adcccc,18adcccc,cv_18adcccc,495.967.7665x75460,341.651.4888,1992,Data Engineering,India,int:Swedish,2025-07-18,2025-11-05,2025-05-07,Principal Data Engineer in data engineering delivering data platforms & analytics.,2025-11-21,6,4,2025-06-02,0,2025-04-23,2,2024-07-18,1,19,2024-10-26,0,14,2024-09-14,2,2024-06-28,6,2026-01-26,0,2024-06-10,2,2026-01-07,1,2025-06-17,2,2025-04-13,4,2024-12-27,1,2024-07-01,3,2024-09-22,2024-07-22
Nicholas Johnson,int:Nicholas Johnson,int:Principal ML Engineer,nicholas.johnson@example.org,nicholasjohnson,ext_c40061e1,c40061e1,cv_c40061e1,511.715.0835,844-839-2840x445,1975,AI/ML,Slovenia,int:Norwegian,2026-03-21,2025-05-23,2025-08-15,,2025-06-26,4,3,2025-03-10,0,2024-07-14,4,2026-01-28,0,15,2024-06-30,2,18,2024-05-24,1,2024-12-17,1,2024-11-13,3,2024-07-17,1,2024-10-06,3,2024-11-15,1,2025-03-06,1,2024-09-26,2,2025-11-01,2,2024-07-04,2026-01-14
Melissa White,int:Melissa White,int:Senior Full-stack Engineer,melissa.white@mail.test,melissawhite,ext_e9043431,e9043431,cv_e9043431,001-907-582-6333,298.777.5153x66377,1988,Software Engineering,United Kingdom,int:Polish,2025-09-11,2025-05-09,2025-12-29,Senior Full-stack Engineer in software engineering delivering data platforms & analytics.,2024-05-05,4,3,2024-07-02,3,2025-03-22,2,2026-02-09,1,11,2024-04-21,2,7,2025-07-02,4,2026-03-04,4,2024-05-24,1,2025-03-30,1,2025-02-28,0,2025-03-09,2,2024-07-08,4,2025-04-29,1,2024-05-01,1,2024-12-22,2025-08-03
Jason Salinas,int:Jason Salinas,int:Senior MLOps Engineer,jason.salinas@mail.test,jasonsalinas,ext_b0357aa7,b0357aa7,cv_b0357aa7,(892)840-7553,+1-868-845-9090x22599,1980,Data Engineering,Ireland,int:Swedish,2025-08-11,2025-06-04,2025-09-14,,2025-09-15,4,0,2025-11-11,0,2024-07-16,1,2025-06-06,1,14,2025-09-25,2,19,2024-06-19,4,2025-07-25,1,2024-06-23,2,2025-11-18,1,2024-05-04,2,2024-10-05,1,2024-08-22,1,2025-07-02,2,2025-02-27,4,2025-08-19,2025-04-07
Matthew Beard,int:Matthew Beard,int:Senior .NET Engineer,matthew.beard@example.org,matthewbeard,ext_8b248ba0,8b248ba0,cv_8b248ba0,961.686.3715,421-582-0970,1971,Software Engineering,India,int:Danish,2025-10-10,2025-09-16,2026-01-08,Senior .NET Engineer in software engineering delivering data platforms & analytics.,2024-08-22,6,1,2025-10-10,0,2024-08-08,3,2025-08-20,3,10,2024-04-22,1,23,2025-08-19,2,2025-04-17,0,2024-10-08,2,2024-07-20,0,2024-05-01,4,2025-03-21,1,2025-12-20,5,2025-08-18,1,2024-11-03,2,2025-12-16,2025-02-14
Jacqueline Hill,int:Jacqueline Hill,int:Lead Data Platform Engineer,jacqueline.hill@example.com,jacquelinehill,ext_9b53e872,9b53e872,cv_9b53e872,264-733-4817,502.456.6212x86716,1993,Data Engineering,India,int:British,2025-07-28,2025-04-20,2025-11-07,Lead Data Platform Engineer in data engineering delivering data platforms & analytics.,2025-07-10,4,3,2025-08-17,2,2025-09-17,3,2025-05-25,0,20,2024-06-29,5,6,2024-07-04,3,2025-12-02,4,2024-05-12,2,2024-10-26,1,2024-08-21,4,2026-01-17,1,2025-12-09,0,2024-11-27,2,2024-07-29,3,2024-11-24,2026-03-27
Alejandro Vaughan,int:Alejandro Vaughan,int:Senior Azure Engineer,alejandro.vaughan@mail.test,alejandrovaughan,ext_7b1ab587,7b1ab587,cv_7b1ab587,546.972.9949,930-927-1693x859,1976,Cloud Engineering,Ireland,int:Danish,2025-10-19,2025-11-04,2025-08-14,,2025-12-14,1,0,2025-05-04,1,2025-09-08,5,2025-12-15,2,20,2025-08-25,4,1,2025-10-08,1,2025-03-25,2,2024-07-08,0,2025-08-27,0,2025-01-29,2,2024-12-02,0,2024-10-13,3,2025-12-25,1,2025-08-03,1,2025-01-22,2025-05-03
